ES,System,Pollutant,CAS,Chemical.groups,Concentration,Units,Limit,Date,Reference,Notes
livestock,,"Phenoxy herbicides2,4 D; 2,4-Dichlorophenoxyacetic acid",,Pesticide,100,ug/L,upper,1987,,
livestock,,Picloram,1918021,Pesticide,190,ug/L,upper,1990,,
livestock,,Selenium ,,Metal,50,ug/L,upper,1987,,
livestock,,Simazine,122349,Pesticide,10,ug/L,upper,1991,,
livestock,,Sulphate ,,Inorganic chemical,1000000,ug/L,upper,1987,,
livestock,,Tebuthiuron,34014181,Pesticide,130,ug/L,upper,1995,,
livestock,,TetrachloromethaneCarbon tetrachloride,56235,Organic chemical,5,ug/L,upper,1992,,
livestock,,Toluene,108883,Organic chemical,24,ug/L,upper,1996,,
livestock,,Total dissolved solids (salinity),,Inorganic chemical,3000000,ug/L,upper,1987,,chemical group?
livestock,,Toxaphene,,Pesticide,5,ug/L,upper,1987,,
livestock,,Triallate,2303175,Pesticide,230,ug/L,upper,1992,,
livestock,,Tribromomethane,,Organic chemical,100,ug/L,upper,1992,,
livestock,,Tributyltin ,,Organic chemical,250,ug/L,upper,1992,,
livestock,,Trichloromethane,67663,Organic chemical,100,ug/L,upper,1992,,
livestock,,Tricyclohexyltin ,,Organic chemical,250,ug/L,upper,1992,,
livestock,,Trifluralin,1582098,Pesticide,45,ug/L,upper,1992,,
livestock,,Triphenyltin ,,Organic chemical,820,ug/L,upper,1992,,
livestock,,uranium, 7440-61-1,Metal,200,ug/L,upper,1987,,
livestock,,Vanadium ,,Metal,100,ug/L,upper,1987,,
livestock,,zinc ,,Metal,50000,ug/L,upper,1987,,
drink,,Antimony,,Metal,0.006,mg/L,upper,1997,,
drink,,arsenic,,Metal,0.01,mg/L,upper,2006,,
drink,,atrazine,,Pesticide,0.005,mg/L,upper,1993,,
drink,,Azinphos-methyl,,Pesticide,0.02,mg/L,upper,2005,,
drink,,Barium,,Metal,1,mg/L,upper,1990,,
drink,,Benzene,,Organic chemical,0.005,mg/L,upper,2009,,
drink,,Benzo(a)pyrene,,Organic chemical,0.00004,mg/L,upper,2016,,
drink,,Boron ,,Metal,5,mg/L,upper,1990,,
drink,,Bromate,,Disinfectant & BP,0.01,mg/L,upper,1998,,
drink,,Bromoxynil,,Pesticide,0.005,mg/L,upper,2005,,
drink,,cadmium,,Metal,0.005,mg/L,upper,2005,,
drink,,Carbaryl,,Pesticide,0.09,mg/L,upper,2005,,
drink,,Carbofuran,,Pesticide,0.09,mg/L,upper,2005,,
drink,,Carbon tetrachlorid,,Organic chemical,0.002,mg/L,upper,2010,,
drink,,Chloramines,,Disinfectant & BP,3,mg/L,upper,1995,,
drink,,Chlorate,,Disinfectant & BP,1,mg/L,upper,2008,,
drink,,Chlorite,,Disinfectant & BP,1,mg/L,upper,2008,,
drink,,Chlorpyrifos,,Pesticide,0.09,mg/L,upper,1986,,
drink,,Chromium,,Metal,0.05,mg/L,upper,1986,,
drink,,Cyanide,,Inorganic chemical,0.2,mg/L,upper,1991,,
drink,,Microcystin,,Organic chemical,0.0015,mg/L,upper,2002,,Microcystin-LR
drink,,Diazinon,,Pesticide,0.02,mg/L,upper,2005,,
drink,,Dicamba,,Pesticide,0.12,mg/L,upper,2005,,
drink,,"1,2- Dichlorobenzene",,Organic chemical,0.2,mg/L,upper,1987,,
drink,,"1,4- Dichlorobenzene",,Organic chemical,0.005,mg/L,upper,1987,,
drink,,"1,2-Dichloroethane",,Organic chemical,0.005,mg/L,upper,2014,,
drink,,"1,1- Dichloroethylene",,Organic chemical,0.014,mg/L,upper,1994,,
drink,,Dichloromethane,,Organic chemical,0.05,mg/L,upper,2011,,
drink,,"2,4-Dichlorophenol",,Organic chemical,chemical,mg/L,upper,2005,,
drink,,"2,4- Dichlorophenoxy acetic acid (2,4-D)",,Pesticide,0.1,mg/L,upper,1991,,
