"","station","date","variable","value","units","ym"
"11945",17002600102,2016-04-18,"arsenic",1.5,"ug/L","201604"
"11999",17002600202,2016-04-18,"arsenic",1.5,"ug/L","201604"
"12053",17002600302,2016-04-18,"arsenic",1.5,"ug/L","201604"
"12107",17002600402,2016-04-18,"arsenic",1.5,"ug/L","201604"
"12161",17002600602,2016-04-18,"arsenic",2,"ug/L","201604"
"12213",17002600702,2016-04-18,"arsenic",0.5,"ug/L","201604"
"12262",17002601002,2016-04-18,"arsenic",0.5,"ug/L","201604"
"12316",17002601101,2016-04-18,"arsenic",4.5,"ug/L","201604"
"12370",17002601202,2016-04-18,"arsenic",0.5,"ug/L","201604"
"12424",17002601302,2016-04-18,"arsenic",3.5,"ug/L","201604"
"12478",17002601902,2016-04-18,"arsenic",0.5,"ug/L","201604"
"12532",17002602302,2016-04-18,"arsenic",4.5,"ug/L","201604"
"28741",17002600102,2016-05-24,"arsenic",2,"ug/L","201605"
"28795",17002600202,2016-05-24,"arsenic",2,"ug/L","201605"
"28848",17002600302,2016-05-24,"arsenic",2,"ug/L","201605"
"28901",17002600402,2016-05-24,"arsenic",2,"ug/L","201605"
"28955",17002600602,2016-05-24,"arsenic",4,"ug/L","201605"
"29008",17002600702,2016-05-24,"arsenic",0.5,"ug/L","201605"
"29061",17002601002,2016-05-24,"arsenic",0.5,"ug/L","201605"
"29115",17002601101,2016-05-24,"arsenic",12,"ug/L","201605"
"29169",17002601202,2016-05-24,"arsenic",0.5,"ug/L","201605"
"29222",17002601302,2016-05-24,"arsenic",20,"ug/L","201605"
"29276",17002601902,2016-05-24,"arsenic",0.5,"ug/L","201605"
"29329",17002602302,2016-05-24,"arsenic",8,"ug/L","201605"
"39550",17002600102,2016-06-20,"arsenic",4,"ug/L","201606"
"39604",17002600202,2016-06-20,"arsenic",4.5,"ug/L","201606"
"39658",17002600302,2016-06-20,"arsenic",4,"ug/L","201606"
"39712",17002600402,2016-06-20,"arsenic",4.5,"ug/L","201606"
"39766",17002600602,2016-06-20,"arsenic",5.5,"ug/L","201606"
"39820",17002600702,2016-06-20,"arsenic",1,"ug/L","201606"
"39874",17002601002,2016-06-20,"arsenic",0.5,"ug/L","201606"
"39928",17002601101,2016-06-20,"arsenic",21,"ug/L","201606"
"39974",17002601202,2016-06-20,"arsenic",1.5,"ug/L","201606"
"40019",17002601302,2016-06-20,"arsenic",81,"ug/L","201606"
"40065",17002601902,2016-06-20,"arsenic",1,"ug/L","201606"
"40111",17002602302,2016-06-20,"arsenic",15,"ug/L","201606"
"53496",17002600102,2016-07-18,"arsenic",5,"ug/L","201607"
"53550",17002600202,2016-07-18,"arsenic",6.5,"ug/L","201607"
"53604",17002600302,2016-07-18,"arsenic",7,"ug/L","201607"
"53658",17002600402,2016-07-18,"arsenic",7,"ug/L","201607"
"53712",17002600602,2016-07-18,"arsenic",7.5,"ug/L","201607"
"53766",17002600702,2016-07-18,"arsenic",1.5,"ug/L","201607"
"53820",17002601002,2016-07-18,"arsenic",1,"ug/L","201607"
"53874",17002601101,2016-07-18,"arsenic",48,"ug/L","201607"
"53928",17002601202,2016-07-18,"arsenic",2,"ug/L","201607"
"53982",17002601302,2016-07-18,"arsenic",250,"ug/L","201607"
"54036",17002601902,2016-07-18,"arsenic",1.5,"ug/L","201607"
"54089",17002602302,2016-07-18,"arsenic",19,"ug/L","201607"
"70940",17002600102,2016-08-23,"arsenic",4.5,"ug/L","201608"
"70994",17002600202,2016-08-23,"arsenic",5,"ug/L","201608"
"71048",17002600302,2016-08-23,"arsenic",25,"ug/L","201608"
"71102",17002600402,2016-08-23,"arsenic",21,"ug/L","201608"
"71156",17002600602,2016-08-23,"arsenic",6.5,"ug/L","201608"
"71210",17002600702,2016-08-23,"arsenic",1.5,"ug/L","201608"
"71264",17002601002,2016-08-23,"arsenic",1,"ug/L","201608"
"71318",17002601101,2016-08-23,"arsenic",87,"ug/L","201608"
"71372",17002601202,2016-08-23,"arsenic",2.5,"ug/L","201608"
"71426",17002601302,2016-08-23,"arsenic",410,"ug/L","201608"
"71480",17002601902,2016-08-23,"arsenic",2,"ug/L","201608"
"71534",17002602302,2016-08-23,"arsenic",17,"ug/L","201608"
"81127",17002600102,2016-09-19,"arsenic",3.5,"ug/L","201609"
"81181",17002600202,2016-09-19,"arsenic",4,"ug/L","201609"
"81235",17002600302,2016-09-19,"arsenic",23,"ug/L","201609"
"81288",17002600402,2016-09-19,"arsenic",22,"ug/L","201609"
"81342",17002600602,2016-09-19,"arsenic",5.5,"ug/L","201609"
"81395",17002600702,2016-09-19,"arsenic",1,"ug/L","201609"
"81449",17002601002,2016-09-19,"arsenic",0.5,"ug/L","201609"
"81503",17002601101,2016-09-19,"arsenic",110,"ug/L","201609"
"81556",17002601302,2016-09-19,"arsenic",370,"ug/L","201609"
"81609",17002601902,2016-09-19,"arsenic",2.5,"ug/L","201609"
"81660",17002602302,2016-09-19,"arsenic",16,"ug/L","201609"
"90170",17002601902,2016-10-17,"arsenic",1.5,"ug/L","201610"
"90223",17002600102,2016-10-17,"arsenic",3,"ug/L","201610"
"90276",17002600202,2016-10-17,"arsenic",3,"ug/L","201610"
"90329",17002600302,2016-10-17,"arsenic",15,"ug/L","201610"
"90383",17002600402,2016-10-17,"arsenic",18,"ug/L","201610"
"90437",17002600602,2016-10-17,"arsenic",3,"ug/L","201610"
"90490",17002600702,2016-10-17,"arsenic",1,"ug/L","201610"
"90544",17002601002,2016-10-17,"arsenic",0.5,"ug/L","201610"
"90598",17002601101,2016-10-17,"arsenic",43,"ug/L","201610"
"90650",17002601202,2016-10-17,"arsenic",1.5,"ug/L","201610"
"90703",17002601302,2016-10-17,"arsenic",320,"ug/L","201610"
"90755",17002602302,2016-10-17,"arsenic",22,"ug/L","201610"
"60",11000100702,2016-01-11,"cadmium",0.221,"ug/L","201601"
"146",16018403502,2016-01-12,"cadmium",0.222,"ug/L","201601"
"191",6010400102,2016-01-18,"cadmium",0.112,"ug/L","201601"
"237",6009701102,2016-01-19,"cadmium",1.33,"ug/L","201601"
"285",6008000602,2016-01-20,"cadmium",1.26,"ug/L","201601"
"335",6008200302,2016-01-20,"cadmium",2.17,"ug/L","201601"
"383",6008301902,2016-01-21,"cadmium",0.904,"ug/L","201601"
"439",6008501402,2016-01-21,"cadmium",1.02,"ug/L","201601"
"641",6006800102,2016-01-27,"cadmium",2.36,"ug/L","201601"
"689",6007600302,2016-01-27,"cadmium",0.716,"ug/L","201601"
"736",6007600402,2016-01-27,"cadmium",0.759,"ug/L","201601"
"784",6007600502,2016-01-27,"cadmium",0.731,"ug/L","201601"
"832",6007600602,2016-01-27,"cadmium",1.43,"ug/L","201601"
"881",6007600802,2016-01-27,"cadmium",0.33,"ug/L","201601"
"929",6007601002,2016-01-27,"cadmium",0.715,"ug/L","201601"
"976",6007601502,2016-01-27,"cadmium",0.484,"ug/L","201601"
"1023",6007601602,2016-01-27,"cadmium",0.753,"ug/L","201601"
"1072",6007601702,2016-01-27,"cadmium",0.548,"ug/L","201601"
"1120",6007601802,2016-01-27,"cadmium",0.0756,"ug/L","201601"
"1169",6007602202,2016-01-27,"cadmium",0.674,"ug/L","201601"
"1217",6007602302,2016-01-27,"cadmium",1.06,"ug/L","201601"
"1266",6007605102,2016-01-27,"cadmium",0.392,"ug/L","201601"
"1313",6007605202,2016-01-27,"cadmium",0.438,"ug/L","201601"
"1596",6010400102,2016-02-16,"cadmium",0.297,"ug/L","201602"
"1641",6009701102,2016-02-17,"cadmium",0.98,"ug/L","201602"
"1732",6018000302,2016-02-17,"cadmium",0.073,"ug/L","201602"
"1777",6018300202,2016-02-17,"cadmium",0.102,"ug/L","201602"
"1823",12000200402,2016-02-17,"cadmium",0.313,"ug/L","201602"
"1884",12000201002,2016-02-17,"cadmium",0.627,"ug/L","201602"
"1945",17003700302,2016-02-17,"cadmium",0.241,"ug/L","201602"
"1991",6008000602,2016-02-18,"cadmium",2.02,"ug/L","201602"
"2034",6008200302,2016-02-18,"cadmium",0.258,"ug/L","201602"
"2078",6008301902,2016-02-18,"cadmium",1.75,"ug/L","201602"
"2130",6008501402,2016-02-18,"cadmium",0.795,"ug/L","201602"
"2182",12000400202,2016-02-18,"cadmium",0.092,"ug/L","201602"
"2228",12001700102,2016-02-18,"cadmium",0.142,"ug/L","201602"
"2274",12002700102,2016-02-18,"cadmium",0.346,"ug/L","201602"
"2318",12003100102,2016-02-18,"cadmium",0.28,"ug/L","201602"
"2363",12003400102,2016-02-18,"cadmium",0.297,"ug/L","201602"
"2408",3006600102,2016-02-22,"cadmium",0.168,"ug/L","201602"
"2451",3007000302,2016-02-22,"cadmium",0.333,"ug/L","201602"
"2494",3007000402,2016-02-22,"cadmium",0.367,"ug/L","201602"
"2536",3007000502,2016-02-22,"cadmium",0.265,"ug/L","201602"
"2578",3007300202,2016-02-22,"cadmium",0.322,"ug/L","201602"
"2621",3007300302,2016-02-22,"cadmium",0.195,"ug/L","201602"
"2662",3007500202,2016-02-22,"cadmium",0.401,"ug/L","201602"
"2703",3007600302,2016-02-22,"cadmium",0.385,"ug/L","201602"
"2744",3007600402,2016-02-22,"cadmium",0.331,"ug/L","201602"
"2786",3007600502,2016-02-22,"cadmium",0.412,"ug/L","201602"
"2828",3007600602,2016-02-22,"cadmium",0.415,"ug/L","201602"
"2870",3007701302,2016-02-22,"cadmium",0.157,"ug/L","201602"
"2914",6006800102,2016-02-29,"cadmium",2.28,"ug/L","201602"
"2963",6007600302,2016-02-29,"cadmium",0.568,"ug/L","201602"
"3011",6007600402,2016-02-29,"cadmium",0.135,"ug/L","201602"
"3059",6007600502,2016-02-29,"cadmium",0.481,"ug/L","201602"
"3107",6007600602,2016-02-29,"cadmium",0.636,"ug/L","201602"
"3156",6007600802,2016-02-29,"cadmium",0.451,"ug/L","201602"
"3204",6007601002,2016-02-29,"cadmium",0.426,"ug/L","201602"
"3252",6007601502,2016-02-29,"cadmium",0.258,"ug/L","201602"
"3301",6007601602,2016-02-29,"cadmium",0.734,"ug/L","201602"
"3350",6007601702,2016-02-29,"cadmium",0.444,"ug/L","201602"
"3398",6007601802,2016-02-29,"cadmium",0.463,"ug/L","201602"
"3446",6007602202,2016-02-29,"cadmium",0.424,"ug/L","201602"
"3495",6007602302,2016-02-29,"cadmium",0.787,"ug/L","201602"
"3544",6007605002,2016-02-29,"cadmium",0.345,"ug/L","201602"
"3593",6007605102,2016-02-29,"cadmium",0.296,"ug/L","201602"
"3641",6007605202,2016-02-29,"cadmium",0.194,"ug/L","201602"
"3704",6010400102,2016-03-14,"cadmium",0.831,"ug/L","201603"
"3747",6009701102,2016-03-15,"cadmium",0.284,"ug/L","201603"
"3791",8002100202,2016-03-15,"cadmium",0.122,"ug/L","201603"
"3871",8002201202,2016-03-15,"cadmium",0.158,"ug/L","201603"
"3917",8002201602,2016-03-15,"cadmium",0.172,"ug/L","201603"
"4092",6008000602,2016-03-16,"cadmium",0.422,"ug/L","201603"
"4136",6008200302,2016-03-16,"cadmium",0.267,"ug/L","201603"
"4180",6008301902,2016-03-17,"cadmium",0.526,"ug/L","201603"
"4231",6008501402,2016-03-17,"cadmium",0.121,"ug/L","201603"
"4282",6018000202,2016-03-21,"cadmium",0.0244,"ug/L","201603"
"4423",12000200402,2016-03-21,"cadmium",0.0274,"ug/L","201603"
"4487",12000201002,2016-03-21,"cadmium",0.369,"ug/L","201603"
"4534",17003700302,2016-03-21,"cadmium",0.0912,"ug/L","201603"
"4581",6005900102,2016-03-22,"cadmium",0.66,"ug/L","201603"
"4645",6006000702,2016-03-22,"cadmium",0.238,"ug/L","201603"
"4739",6006100102,2016-03-22,"cadmium",0.71,"ug/L","201603"
"4786",6006300102,2016-03-22,"cadmium",0.0102,"ug/L","201603"
"4850",6006301102,2016-03-22,"cadmium",0.0899,"ug/L","201603"
"4897",6006301202,2016-03-22,"cadmium",0.391,"ug/L","201603"
"4961",9000902402,2016-03-22,"cadmium",0.456,"ug/L","201603"
"5008",11000100502,2016-03-22,"cadmium",0.24,"ug/L","201603"
"5052",11000100702,2016-03-22,"cadmium",0.208,"ug/L","201603"
"5095",11000101202,2016-03-22,"cadmium",0.362,"ug/L","201603"
"5138",11000101302,2016-03-22,"cadmium",0.662,"ug/L","201603"
"5245",12001700102,2016-03-22,"cadmium",0.122,"ug/L","201603"
"5309",12002700102,2016-03-22,"cadmium",0.0182,"ug/L","201603"
"5356",12003100102,2016-03-22,"cadmium",0.00483,"ug/L","201603"
"5403",12003400102,2016-03-22,"cadmium",0.314,"ug/L","201603"
"5450",6002400102,2016-03-23,"cadmium",0.354,"ug/L","201603"
"5493",6002400902,2016-03-23,"cadmium",0.303,"ug/L","201603"
"5537",6003800102,2016-03-23,"cadmium",0.301,"ug/L","201603"
"5581",17002104602,2016-03-23,"cadmium",0.292,"ug/L","201603"
"5625",17002105702,2016-03-23,"cadmium",0.211,"ug/L","201603"
"5669",17002106802,2016-03-23,"cadmium",0.164,"ug/L","201603"
"5713",17002107102,2016-03-23,"cadmium",0.113,"ug/L","201603"
"5757",17002111802,2016-03-23,"cadmium",0.166,"ug/L","201603"
"5801",17002112802,2016-03-23,"cadmium",0.599,"ug/L","201603"
"5845",17002113302,2016-03-23,"cadmium",0.0648,"ug/L","201603"
"5889",17002115602,2016-03-23,"cadmium",0.607,"ug/L","201603"
"5933",17002115702,2016-03-23,"cadmium",0.154,"ug/L","201603"
"5976",6000300102,2016-03-29,"cadmium",0.248,"ug/L","201603"
"6019",6001700102,2016-03-29,"cadmium",0.0699,"ug/L","201603"
"6063",6001700702,2016-03-29,"cadmium",0.126,"ug/L","201603"
"6106",6001701002,2016-03-29,"cadmium",0.338,"ug/L","201603"
"6149",6001701102,2016-03-29,"cadmium",0.312,"ug/L","201603"
"6236",4001301702,2016-03-30,"cadmium",0.0424,"ug/L","201603"
"6279",4001302502,2016-03-30,"cadmium",0.583,"ug/L","201603"
"6323",4001302902,2016-03-30,"cadmium",0.24,"ug/L","201603"
"6367",4001304102,2016-03-30,"cadmium",0.0753,"ug/L","201603"
"6470",4001304702,2016-03-30,"cadmium",0.268,"ug/L","201603"
"6530",4001306302,2016-03-30,"cadmium",0.488,"ug/L","201603"
"6799",5000600202,2016-03-30,"cadmium",0.532,"ug/L","201603"
"6843",3006600102,2016-03-31,"cadmium",0.512,"ug/L","201603"
"6929",3007000402,2016-03-31,"cadmium",0.472,"ug/L","201603"
"6973",3007000502,2016-03-31,"cadmium",0.497,"ug/L","201603"
"7016",3007300202,2016-03-31,"cadmium",0.434,"ug/L","201603"
"7059",3007300302,2016-03-31,"cadmium",0.376,"ug/L","201603"
"7102",3007500202,2016-03-31,"cadmium",0.366,"ug/L","201603"
"7146",3007600302,2016-03-31,"cadmium",0.0157,"ug/L","201603"
"7189",3007600402,2016-03-31,"cadmium",0.419,"ug/L","201603"
"7232",3007600502,2016-03-31,"cadmium",0.0156,"ug/L","201603"
"7275",3007600602,2016-03-31,"cadmium",0.133,"ug/L","201603"
"7411",4002700802,2016-04-05,"cadmium",0.158,"ug/L","201604"
"7457",4002700902,2016-04-05,"cadmium",0.477,"ug/L","201604"
"7554",4002701702,2016-04-05,"cadmium",0.121,"ug/L","201604"
"7651",6007600302,2016-04-07,"cadmium",0.289,"ug/L","201604"
"7750",6007600502,2016-04-07,"cadmium",0.48,"ug/L","201604"
"7799",6007600602,2016-04-07,"cadmium",0.342,"ug/L","201604"
"7848",6007600802,2016-04-07,"cadmium",0.295,"ug/L","201604"
"8044",6007601702,2016-04-07,"cadmium",0.199,"ug/L","201604"
"8093",6007601802,2016-04-07,"cadmium",0.462,"ug/L","201604"
"8142",6007602202,2016-04-07,"cadmium",0.395,"ug/L","201604"
"8191",6007602302,2016-04-07,"cadmium",0.133,"ug/L","201604"
"8240",6007605002,2016-04-07,"cadmium",0.441,"ug/L","201604"
"8387",4001000302,2016-04-11,"cadmium",0.387,"ug/L","201604"
"8430",6006000702,2016-04-11,"cadmium",0.0567,"ug/L","201604"
"8477",6006000802,2016-04-11,"cadmium",0.572,"ug/L","201604"
"8523",6006100102,2016-04-11,"cadmium",0.148,"ug/L","201604"
"8570",6006300102,2016-04-11,"cadmium",0.237,"ug/L","201604"
"8616",6006301102,2016-04-11,"cadmium",0.174,"ug/L","201604"
"8661",6006301202,2016-04-11,"cadmium",0.249,"ug/L","201604"
"8706",8010300102,2016-04-11,"cadmium",0.0215,"ug/L","201604"
"8784",8012303002,2016-04-11,"cadmium",0.299,"ug/L","201604"
"8878",9000902402,2016-04-11,"cadmium",0.525,"ug/L","201604"
"8923",10000100302,2016-04-11,"cadmium",0.17,"ug/L","201604"
"8965",10000200202,2016-04-11,"cadmium",0.598,"ug/L","201604"
"9009",18003300302,2016-04-11,"cadmium",0.126,"ug/L","201604"
"9171",18003303402,2016-04-11,"cadmium",0.0649,"ug/L","201604"
"9218",18003303502,2016-04-11,"cadmium",0.0614,"ug/L","201604"
"9265",18003303602,2016-04-11,"cadmium",0.124,"ug/L","201604"
"9328",8005600102,2016-04-12,"cadmium",0.0654,"ug/L","201604"
"9422",8005600302,2016-04-12,"cadmium",0.114,"ug/L","201604"
"9469",8005600902,2016-04-12,"cadmium",0.276,"ug/L","201604"
"9648",8007600102,2016-04-12,"cadmium",0.076,"ug/L","201604"
"9727",8012305102,2016-04-12,"cadmium",0.124,"ug/L","201604"
"9789",8012305302,2016-04-12,"cadmium",0.224,"ug/L","201604"
"9867",16001800202,2016-04-12,"cadmium",0.278,"ug/L","201604"
"9910",16002700102,2016-04-12,"cadmium",0.332,"ug/L","201604"
"9954",16003000302,2016-04-12,"cadmium",0.248,"ug/L","201604"
"9999",16003200102,2016-04-12,"cadmium",0.19,"ug/L","201604"
"10043",16003200202,2016-04-12,"cadmium",0.285,"ug/L","201604"
"10087",16008700502,2016-04-12,"cadmium",0.0574,"ug/L","201604"
"10130",16008700602,2016-04-12,"cadmium",0.28,"ug/L","201604"
"10174",16008701002,2016-04-12,"cadmium",0.283,"ug/L","201604"
"10217",16008701502,2016-04-12,"cadmium",0.252,"ug/L","201604"
"10260",3001500202,2016-04-18,"cadmium",0.0357,"ug/L","201604"
"10304",3001600302,2016-04-18,"cadmium",0.0963,"ug/L","201604"
"10348",3001700202,2016-04-18,"cadmium",0.174,"ug/L","201604"
"10392",3003000202,2016-04-18,"cadmium",0.182,"ug/L","201604"
"10436",3003600502,2016-04-18,"cadmium",0.126,"ug/L","201604"
"10480",3003600902,2016-04-18,"cadmium",0.17,"ug/L","201604"
"10524",3003601002,2016-04-18,"cadmium",0.358,"ug/L","201604"
"10680",6000300102,2016-04-18,"cadmium",0.0899,"ug/L","201604"
"10768",6001700702,2016-04-18,"cadmium",0.241,"ug/L","201604"
"10812",6001701002,2016-04-18,"cadmium",0.0728,"ug/L","201604"
"10856",6001701102,2016-04-18,"cadmium",0.0261,"ug/L","201604"
"10900",6009701802,2016-04-18,"cadmium",0.463,"ug/L","201604"
"10943",6010400102,2016-04-18,"cadmium",0.154,"ug/L","201604"
"10987",6010400802,2016-04-18,"cadmium",0.593,"ug/L","201604"
"11030",6011700202,2016-04-18,"cadmium",0.105,"ug/L","201604"
"11077",6011700302,2016-04-18,"cadmium",0.272,"ug/L","201604"
"11141",6012900102,2016-04-18,"cadmium",0.436,"ug/L","201604"
"11222",6013000102,2016-04-18,"cadmium",0.329,"ug/L","201604"
"11269",6013300402,2016-04-18,"cadmium",0.171,"ug/L","201604"
"11333",8013500302,2016-04-18,"cadmium",0.155,"ug/L","201604"
"11377",8013500502,2016-04-18,"cadmium",0.0206,"ug/L","201604"
"11421",8013500602,2016-04-18,"cadmium",0.183,"ug/L","201604"
"11553",17002102502,2016-04-18,"cadmium",0.000779,"ug/L","201604"
"11597",17002104102,2016-04-18,"cadmium",0.308,"ug/L","201604"
"11729",17002107502,2016-04-18,"cadmium",0.00647,"ug/L","201604"
"11773",17002111902,2016-04-18,"cadmium",0.286,"ug/L","201604"
"11817",17002113002,2016-04-18,"cadmium",0.195,"ug/L","201604"
"11861",17002113602,2016-04-18,"cadmium",0.246,"ug/L","201604"
"11905",17002113702,2016-04-18,"cadmium",0.264,"ug/L","201604"
"11951",17002600102,2016-04-18,"cadmium",0.216,"ug/L","201604"
"12005",17002600202,2016-04-18,"cadmium",0.081,"ug/L","201604"
"12059",17002600302,2016-04-18,"cadmium",0.0564,"ug/L","201604"
"12113",17002600402,2016-04-18,"cadmium",0.165,"ug/L","201604"
"12167",17002600602,2016-04-18,"cadmium",0.129,"ug/L","201604"
"12219",17002600702,2016-04-18,"cadmium",0.194,"ug/L","201604"
"12268",17002601002,2016-04-18,"cadmium",0.000367,"ug/L","201604"
"12322",17002601101,2016-04-18,"cadmium",0.127,"ug/L","201604"
"12376",17002601202,2016-04-18,"cadmium",0.184,"ug/L","201604"
"12430",17002601302,2016-04-18,"cadmium",0.514,"ug/L","201604"
"12538",17002602302,2016-04-18,"cadmium",0.119,"ug/L","201604"
"12590",3013301302,2016-04-19,"cadmium",0.125,"ug/L","201604"
"12777",5000600202,2016-04-19,"cadmium",0.543,"ug/L","201604"
"12819",6008000702,2016-04-19,"cadmium",0.274,"ug/L","201604"
"12863",6009701102,2016-04-19,"cadmium",0.0759,"ug/L","201604"
"12988",8002201202,2016-04-19,"cadmium",0.145,"ug/L","201604"
"13035",8002201602,2016-04-19,"cadmium",0.158,"ug/L","201604"
"13163",8004000802,2016-04-19,"cadmium",0.034,"ug/L","201604"
"13227",16010900802,2016-04-19,"cadmium",0.0891,"ug/L","201604"
"13372",16015900302,2016-04-19,"cadmium",0.364,"ug/L","201604"
"13436",16016400102,2016-04-19,"cadmium",0.14,"ug/L","201604"
"13483",16018403502,2016-04-19,"cadmium",0.423,"ug/L","201604"
"13670",18607008002,2016-04-19,"cadmium",0.122,"ug/L","201604"
"13717",4001301602,2016-04-20,"cadmium",0.223,"ug/L","201604"
"13764",4001301702,2016-04-20,"cadmium",0.582,"ug/L","201604"
"13811",4001302502,2016-04-20,"cadmium",0.462,"ug/L","201604"
"13858",4001302902,2016-04-20,"cadmium",0.302,"ug/L","201604"
"13904",4001304102,2016-04-20,"cadmium",0.279,"ug/L","201604"
"13951",4001304402,2016-04-20,"cadmium",0.603,"ug/L","201604"
"13998",4001304702,2016-04-20,"cadmium",0.00166,"ug/L","201604"
"14045",4001306302,2016-04-20,"cadmium",0.275,"ug/L","201604"
"14091",4001306402,2016-04-20,"cadmium",0.318,"ug/L","201604"
"14138",6008000602,2016-04-20,"cadmium",0.299,"ug/L","201604"
"14182",6008200302,2016-04-20,"cadmium",1.11,"ug/L","201604"
"14226",12007300302,2016-04-20,"cadmium",0.325,"ug/L","201604"
"14272",12007300802,2016-04-20,"cadmium",0.619,"ug/L","201604"
"14316",12007301102,2016-04-20,"cadmium",0.159,"ug/L","201604"
"14362",12007301502,2016-04-20,"cadmium",0.309,"ug/L","201604"
"14406",12008000302,2016-04-20,"cadmium",0.459,"ug/L","201604"
"14451",12008600102,2016-04-20,"cadmium",0.317,"ug/L","201604"
"14496",12008600202,2016-04-20,"cadmium",0.316,"ug/L","201604"
"14542",12008600402,2016-04-20,"cadmium",0.0833,"ug/L","201604"
"14586",12008601102,2016-04-20,"cadmium",0.483,"ug/L","201604"
"14674",6008301802,2016-04-21,"cadmium",0.551,"ug/L","201604"
"14717",6008301902,2016-04-21,"cadmium",0.337,"ug/L","201604"
"14767",6008310302,2016-04-21,"cadmium",0.769,"ug/L","201604"
"14854",6008501402,2016-04-21,"cadmium",0.221,"ug/L","201604"
"14942",4001308202,2016-04-25,"cadmium",0.438,"ug/L","201604"
"14984",4001308302,2016-04-25,"cadmium",0.499,"ug/L","201604"
"15040",11000100502,2016-04-25,"cadmium",0.147,"ug/L","201604"
"15084",11000100702,2016-04-25,"cadmium",0.353,"ug/L","201604"
"15127",11000101202,2016-04-25,"cadmium",0.534,"ug/L","201604"
"15170",11000101302,2016-04-25,"cadmium",0.741,"ug/L","201604"
"15225",16007200102,2016-04-25,"cadmium",0.534,"ug/L","201604"
"15285",16018401002,2016-04-25,"cadmium",0.305,"ug/L","201604"
"15332",16018402702,2016-04-25,"cadmium",0.794,"ug/L","201604"
"15395",16018403502,2016-04-25,"cadmium",0.489,"ug/L","201604"
"15457",16018409302,2016-04-25,"cadmium",0.511,"ug/L","201604"
"15551",17002104602,2016-04-25,"cadmium",0.0627,"ug/L","201604"
"15592",17002106802,2016-04-25,"cadmium",0.00289,"ug/L","201604"
"15633",17002111802,2016-04-25,"cadmium",0.13,"ug/L","201604"
"15674",17002112802,2016-04-25,"cadmium",0.391,"ug/L","201604"
"15715",17002113302,2016-04-25,"cadmium",0.193,"ug/L","201604"
"15810",17003500202,2016-04-25,"cadmium",0.124,"ug/L","201604"
"15909",18000017002,2016-04-25,"cadmium",0.0492,"ug/L","201604"
"15951",18337012102,2016-04-25,"cadmium",0.458,"ug/L","201604"
"15993",18343000202,2016-04-25,"cadmium",0.351,"ug/L","201604"
"16103",18349002002,2016-04-25,"cadmium",0.0694,"ug/L","201604"
"16145",18369001002,2016-04-25,"cadmium",0.0703,"ug/L","201604"
"16188",1010400202,2016-04-26,"cadmium",0.246,"ug/L","201604"
"16234",1010500102,2016-04-26,"cadmium",0.555,"ug/L","201604"
"16280",1010600202,2016-04-26,"cadmium",0.188,"ug/L","201604"
"16326",1010700202,2016-04-26,"cadmium",0.218,"ug/L","201604"
"16372",1010800602,2016-04-26,"cadmium",0.14,"ug/L","201604"
"16442",3005300102,2016-04-26,"cadmium",0.434,"ug/L","201604"
"16502",3005700702,2016-04-26,"cadmium",0.344,"ug/L","201604"
"16577",3005702502,2016-04-26,"cadmium",0.362,"ug/L","201604"
"16624",3005702802,2016-04-26,"cadmium",0.635,"ug/L","201604"
"16685",3005703002,2016-04-26,"cadmium",0.332,"ug/L","201604"
"16732",3005703102,2016-04-26,"cadmium",0.457,"ug/L","201604"
"16863",3007700202,2016-04-26,"cadmium",0.614,"ug/L","201604"
"16911",3007700702,2016-04-26,"cadmium",0.414,"ug/L","201604"
"16958",3007702102,2016-04-26,"cadmium",0.506,"ug/L","201604"
"17006",3007702802,2016-04-26,"cadmium",0.0294,"ug/L","201604"
"17054",3007702902,2016-04-26,"cadmium",0.349,"ug/L","201604"
"17102",3007703402,2016-04-26,"cadmium",0.368,"ug/L","201604"
"17149",3007703502,2016-04-26,"cadmium",0.215,"ug/L","201604"
"17197",3007703602,2016-04-26,"cadmium",0.466,"ug/L","201604"
"17245",3007703802,2016-04-26,"cadmium",0.429,"ug/L","201604"
"17292",3007703902,2016-04-26,"cadmium",0.469,"ug/L","201604"
"17339",3007704002,2016-04-26,"cadmium",0.399,"ug/L","201604"
"17383",3007704102,2016-04-26,"cadmium",0.331,"ug/L","201604"
"17465",4002700802,2016-04-26,"cadmium",0.399,"ug/L","201604"
"17512",4002700902,2016-04-26,"cadmium",0.474,"ug/L","201604"
"17610",4002701702,2016-04-26,"cadmium",0.0151,"ug/L","201604"
"17657",6002400102,2016-04-26,"cadmium",0.22,"ug/L","201604"
"17700",6002400902,2016-04-26,"cadmium",0.391,"ug/L","201604"
"17742",6003800102,2016-04-26,"cadmium",0.308,"ug/L","201604"
"17783",6005000202,2016-04-26,"cadmium",0.584,"ug/L","201604"
"17825",9000100402,2016-04-26,"cadmium",0.348,"ug/L","201604"
"17866",9000100502,2016-04-26,"cadmium",0.558,"ug/L","201604"
"17907",9000800502,2016-04-26,"cadmium",0.385,"ug/L","201604"
"17949",9000800602,2016-04-26,"cadmium",0.53,"ug/L","201604"
"17991",9000800702,2016-04-26,"cadmium",0.508,"ug/L","201604"
"18033",16018401202,2016-04-26,"cadmium",0.12,"ug/L","201604"
"18079",16018401502,2016-04-26,"cadmium",0.491,"ug/L","201604"
